#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
1.4272969e-05  4.1245515e-06            1.430797e-05  4.1124289e-06
1.4352706e-05  4.125576e-06            1.4387903e-05  4.1126028e-06
1.4432444e-05  4.1261315e-06            1.4467836e-05  4.1104519e-06
1.4512181e-05  4.1267456e-06            1.4547768e-05  4.109645e-06
1.4591918e-05  4.1270039e-06            1.4627701e-05  4.109108e-06
1.4671655e-05  4.1267217e-06            1.4707634e-05  4.109658e-06
1.4751393e-05  4.1271833e-06            1.4787567e-05  4.1099803e-06
1.483113e-05  4.1272928e-06            1.48675e-05  4.1096432e-06
1.4910867e-05  4.1286071e-06            1.4947432e-05  4.1106439e-06
1.4990604e-05  4.1283698e-06            1.5027365e-05  4.117929e-06
1.5070342e-05  4.1285401e-06            1.5107298e-05  4.1197035e-06
1.5150079e-05  4.1295035e-06            1.5187231e-05  4.1197964e-06
1.5229816e-05  4.1308788e-06            1.5267163e-05  4.1176746e-06
1.5309553e-05  4.130315e-06            1.5347096e-05  4.1184729e-06
1.5389291e-05  4.1311737e-06            1.5427029e-05  4.1184122e-06
1.5469028e-05  4.1316891e-06            1.5506962e-05  4.1283446e-06
1.5548765e-05  4.1369796e-06            1.5586895e-05  4.2345533e-06
1.5628502e-05  4.171348e-06            1.5666827e-05  4.2766477e-06
1.570824e-05  4.2157472e-06            1.574676e-05  4.2258293e-06
1.5787977e-05  4.2321149e-06            1.5826693e-05  4.2289966e-06
1.5867714e-05  4.2350937e-06            1.5906626e-05  4.2287333e-06
1.5947452e-05  4.2345243e-06            1.5986559e-05  4.2348786e-06
1.6027189e-05  4.2340121e-06            1.6066491e-05  4.2352321e-06
1.6106926e-05  4.2340982e-06            1.6146424e-05  4.2320922e-06
1.6186663e-05  4.2352095e-06            1.6226357e-05  4.2281239e-06
1.6266401e-05  4.2355036e-06            1.630629e-05  4.2287599e-06
1.6346138e-05  4.235785e-06            1.6386223e-05  4.2287929e-06
1.6425875e-05  4.2363333e-06            1.6466155e-05  4.2310394e-06
1.6505612e-05  4.2361134e-06            1.6546088e-05  4.2317516e-06
1.658535e-05  4.2373721e-06            1.6626021e-05  4.2341902e-06
1.6665087e-05  4.2378231e-06            1.6705954e-05  4.2375519e-06
1.6744824e-05  4.2379631e-06            1.6785887e-05  4.238467e-06
1.6824561e-05  4.2382295e-06            1.6865819e-05  4.2326254e-06
1.6904299e-05  4.2381931e-06            1.6945752e-05  4.2247588e-06
1.6984036e-05  4.2386823e-06            1.7025685e-05  4.2226342e-06
1.7063773e-05  4.2399552e-06            1.7105618e-05  4.2249336e-06
1.714351e-05  4.2397762e-06            1.7185551e-05  4.2278868e-06
1.7223248e-05  4.239249e-06            1.7265483e-05  4.2281534e-06
1.7302985e-05  4.2402879e-06            1.7345416e-05  4.2261638e-06
1.7382722e-05  4.240948e-06            1.7425349e-05  4.2254393e-06
1.7462459e-05  4.2419825e-06            1.7505282e-05  4.2288943e-06
1.7542197e-05  4.2419076e-06            1.7585214e-05  4.2290336e-06
1.7621934e-05  4.2427827e-06            1.7665147e-05  4.2273369e-06
1.7701671e-05  4.2434425e-06            1.774508e-05  4.2261056e-06
1.7781408e-05  4.2436526e-06            1.7825013e-05  4.2263973e-06
1.7861146e-05  4.2436063e-06            1.7904946e-05  4.228209e-06
1.7940883e-05  4.2445645e-06            1.7984878e-05  4.2298847e-06
1.802062e-05  4.2450623e-06            1.8064811e-05  4.2315782e-06
1.8100357e-05  4.2449708e-06            1.8144744e-05  4.239416e-06
1.8180095e-05  4.2467564e-06            1.8224677e-05  4.2506439e-06
1.8259832e-05  4.2474439e-06            1.830461e-05  4.2582791e-06
1.8339569e-05  4.2471163e-06            1.8384542e-05  4.254819e-06
1.8419306e-05  4.2479937e-06            1.8464475e-05  4.2468818e-06
-          -              1.8544408e-05  4.2390347e-06
-          -              1.8624341e-05  4.2328717e-06
-          -              1.8704274e-05  4.2355093e-06
-          -              1.8784206e-05  4.2386147e-06
-          -              1.8864139e-05  4.2390007e-06
-          -              1.8944072e-05  4.2369806e-06
-          -              1.9024005e-05  4.2363065e-06
