#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
1.5362746e-05  4.1297252e-06            1.503743e-05  4.1239541e-06
1.5450533e-05  4.1304673e-06            1.5123359e-05  4.1253822e-06
1.553832e-05  4.1325662e-06            1.5209287e-05  4.1180257e-06
1.5626107e-05  4.1318326e-06            1.5295215e-05  4.1183864e-06
1.5713894e-05  4.1337573e-06            1.5381143e-05  4.1311177e-06
1.5801681e-05  4.1355937e-06            1.5467071e-05  4.1271919e-06
1.5889468e-05  4.136743e-06            1.5552999e-05  4.1065174e-06
1.5977256e-05  4.1382712e-06            1.5638928e-05  4.0871297e-06
1.6065043e-05  4.1437875e-06            1.5724856e-05  4.0209786e-06
1.615283e-05  4.1577236e-06            1.5810784e-05  4.0000958e-06
1.6240617e-05  4.191495e-06            1.5896712e-05  4.0257889e-06
1.6328404e-05  4.2122815e-06            1.598264e-05  4.0327604e-06
1.6416191e-05  4.2387218e-06            1.6068569e-05  4.0258996e-06
1.6503978e-05  4.2440698e-06            1.6154497e-05  4.0068131e-06
1.6591765e-05  4.2425045e-06            1.6240425e-05  4.0002251e-06
1.6679553e-05  4.2426756e-06            1.6326353e-05  4.0020458e-06
1.676734e-05  4.2422532e-06            1.6412281e-05  4.0075535e-06
1.6855127e-05  4.2430361e-06            1.6498209e-05  3.9992163e-06
1.6942914e-05  4.2432207e-06            1.6584138e-05  4.0010732e-06
1.7030701e-05  4.2440549e-06            1.6670066e-05  4.0109838e-06
1.7118488e-05  4.2437095e-06            1.6755994e-05  4.02079e-06
1.7206275e-05  4.2460906e-06            1.6841922e-05  4.0041045e-06
1.7294062e-05  4.2461234e-06            1.692785e-05  4.0050547e-06
1.738185e-05  4.2468028e-06            1.7013778e-05  4.0242161e-06
1.7469637e-05  4.2481144e-06            1.7099707e-05  4.0100689e-06
1.7557424e-05  4.249288e-06            1.7185635e-05  4.002109e-06
1.7645211e-05  4.2507346e-06            1.7271563e-05  4.0067005e-06
1.7732998e-05  4.248601e-06            1.7357491e-05  3.9957651e-06
1.7820785e-05  4.2508727e-06            1.7443419e-05  3.9923351e-06
1.7908572e-05  4.2515534e-06            1.7529347e-05  4.0112391e-06
1.7996359e-05  4.2520676e-06            1.7615276e-05  4.093694e-06
1.8084146e-05  4.2533298e-06            1.7701204e-05  4.1151338e-06
1.8171934e-05  4.2525445e-06            1.7787132e-05  4.107969e-06
1.8259721e-05  4.2521012e-06            1.787306e-05  4.0835161e-06
1.8347508e-05  4.2532161e-06            1.7958988e-05  4.0911472e-06
1.8435295e-05  4.2532338e-06            1.8044917e-05  4.0973227e-06
1.8523082e-05  4.2544565e-06            1.8130845e-05  4.1106908e-06
1.8610869e-05  4.2541217e-06            1.8216773e-05  4.0970079e-06
1.8698656e-05  4.2549812e-06            1.8302701e-05  4.1020274e-06
1.8786443e-05  4.2567064e-06            1.8388629e-05  4.088741e-06
1.8874231e-05  4.2537447e-06            1.8474557e-05  4.0866457e-06
1.8962018e-05  4.2422259e-06            1.8560486e-05  4.0812026e-06
1.9049805e-05  4.2221821e-06            1.8646414e-05  4.0772686e-06
1.9137592e-05  4.1800531e-06            1.8732342e-05  4.0724888e-06
1.9225379e-05  4.1641562e-06            1.881827e-05  4.0698992e-06
1.9313166e-05  4.1657822e-06            1.8904198e-05  4.0718138e-06
1.9400953e-05  4.1663159e-06            1.8990126e-05  4.07539e-06
1.948874e-05  4.1674871e-06            1.9076055e-05  4.0755517e-06
